url,title,manual_labels,model_labels
https://github.com/mozilla/MozStumbler/issues/353,Add option to configure stumbler's low battery limit,"[14, 15, 6]","[15, 14, 6]"
https://github.com/mozilla/MozStumbler/issues/340,MozStumbler >= v0.9.0 no longer scans WiFi very well on BlackBerry 10.2.1,[9],[9]
https://github.com/mozilla/MozStumbler/issues/329,Wishlist: bring back the manual on/off button,[14],"[8, 5]"
https://github.com/mozilla/MozStumbler/issues/328,Location tracking activates despite exiting the app,"[14, 15, 18]","[15, 14, 5]"
https://github.com/mozilla/MozStumbler/issues/327,Disabling power saving mode does not work,[7],"[7, 10, 2]"
https://github.com/mozilla/MozStumbler/issues/323,No Map Tiles/Images (Test Mozilla Location Service),[12],"[12, 2, 10]"
https://github.com/mozilla/MozStumbler/issues/316,"Wifi settings, wrong signature (FDroid update), test service->no visible map",[9],"[10, 9, 2]"
https://github.com/mozilla/MozStumbler/issues/312,Activity recognition should not stop scanning when power-saving mode is off,"[6, 15, 14]","[15, 6, 14]"
https://github.com/mozilla/MozStumbler/issues/241,Don't force Wi-Fi always ON,"[14, 4]","[2, 12, 10]"
https://github.com/mozilla/MozStumbler/issues/198,Allow to pause scanning,[19],"[14, 19, 8]"
https://github.com/mozilla/MozStumbler/issues/131,Stumbling without data enabled fails to upload any/most data,"[11, 8]","[11, 10, 2]"
https://github.com/mozilla/MozStumbler/issues/41,Pause scanning on ACTION_BATTERY_LOW intent,"[6, 7]","[21, 19, 8]"
https://github.com/mozilla/MozStumbler/issues/32,"Investigate ""Wi-Fi scan-only mode"" (REQUEST_SCAN_ALWAYS_AVAILABLE) in JB 4.3",[9],"[15, 4, 9]"
https://github.com/mozilla/MozStumbler/issues/21,Enable both active and passive stumbling modes for the Client,"[15, 14]","[15, 14, 5]"
https://github.com/Etuldan/spaRSS/issues/34,black theme for amoled displays,[0],[0]
https://github.com/Etuldan/spaRSS/issues/11,Refresh animation doesn't stop,"[13, 20]",[13]
https://github.com/kenkendk/android-bluez-ime/issues/49,Error: connection refused,[1],"[12, 10, 2]"
https://github.com/PrivacyApps/offline-calendar/issues/4,Calendar tries to synchronize,[13],[11]
https://github.com/miku-nyan/Overchan-Android/issues/81,Saved images not added to Android Media Index,[12],"[12, 2, 10]"
https://github.com/microg/IchnaeaNlpBackend/issues/13,Exceptions in log,[10],[21]
https://github.com/wiglenet/wigle-wifi-wardriving/issues/39,Client does not store most accurate data,"[16, 12]","[12, 10, 2]"
https://github.com/lkorth/screen-notifications/issues/44,Battery usage,"[7, 15, 6]","[7, 15]"
https://github.com/lkorth/screen-notifications/issues/15,Proximity Sensor,[17],[]
https://github.com/ThibaudM/timelapse-sony/issues/14,"Keep screen active, update camera list","[0, 15]","[15, 3, 13]"
https://github.com/douzifly/clear-todolist/issues/3,black amoled-friendly design ,[0],[0]
https://github.com/freeotp/freeotp-android/issues/24,[RFE] Have a setting to show all token codes right away without an extra tap,"[19, 4]","[16, 3, 4]"
https://github.com/freeotp/freeotp-android/issues/19,Galaxy S4 battery use,"[7, 15, 6]",[15]
https://github.com/cSploit/android/issues/732,Black theme AMOLED,[0],[0]
https://github.com/cSploit/android/issues/333,Bruteforce WiFi!!,[9],"[18, 9]"
https://github.com/cSploit/android/issues/276,Dark Theme doesn't show,[0],"[12, 2, 10]"
https://github.com/cSploit/android/issues/63,double confirm to exit,[19],[3]
https://github.com/daneren2005/Subsonic/issues/121,Theme with black background for OLED devices,[0],[0]
https://github.com/abarisain/dmix/issues/587,High CPU usage when trying to stream,"[20, 13, 15]","[20, 13]"
https://github.com/abarisain/dmix/issues/504,Problem with MPDroid-beta and multi-album-artists,[18],"[7, 18]"
https://github.com/abarisain/dmix/issues/296,[Feature] Now Playing notification,[5],"[15, 5, 3]"
https://github.com/abarisain/dmix/issues/225,[Wishlist] Control music player via Notification,[5],[15]
https://github.com/abarisain/dmix/issues/180,Connection lost when screen goes off,[1],"[9, 7, 2]"
https://github.com/abarisain/dmix/issues/151,Ongoing notification with controls while playing,"[5, 15]","[3, 13, 15]"
https://github.com/abarisain/dmix/issues/113,Crash browsing in files mode,[8],"[8, 18]"
https://github.com/abarisain/dmix/issues/36,Closing connection,[2],"[8, 10, 2]"
https://github.com/abarisain/dmix/issues/3,Streaming doesn't restart and eats battery,[20],"[2, 10]"
https://github.com/aarddict/android/issues/28,make scrolling and page turns e-ink friendly,[20],[20]
https://github.com/klassm/andFHEM/issues/1214,Dimmer instead of switch for fgs-223,[0],"[11, 2]"
https://github.com/klassm/andFHEM/issues/1183,"High Battery Usage on ""Remote Widget Refresh""","[15, 13, 20]","[13, 20, 15]"
https://github.com/klassm/andFHEM/issues/1152,Improve widget battery usage,"[14, 20, 15]","[14, 20, 15]"
https://github.com/klassm/andFHEM/issues/914,Support for Aeotec MultiSensor,[17],[]
https://github.com/klassm/andFHEM/issues/729,Don't show toggle buttons for CUL_HM powermeter devices without on and off in setList,[19],"[4, 15, 9]"
https://github.com/klassm/andFHEM/issues/444,Fix strong battery usage,"[15, 14, 18]","[16, 20, 15]"
https://github.com/mpietrzak/apv/issues/37,Feature request: full-screen,"[0, 20]","[3, 13]"
https://github.com/telecapoland/jamendo-android/issues/38,"Service seems running in the background, even when I stop the app","[18, 3]","[11, 4, 19]"
https://github.com/mapsme/omim/issues/7563,3D buildings doesn't stay off,[20],[2]
https://github.com/hrydgard/ppsspp/issues/5623,Multithreading seems to be broken on the BCM28155 chipset(1.2 dual core cortex-a9 and videcore IV HW graphics),[20],[9]
